,MOF ID,name,topology,First nodular symmetry code,First nodular character,First nodular ID,Second nodular symmetry code,Second nodular character,Second nodular ID,Connecting building block ID,VF,VSA,GSA,PLD,LCD,LCD/PLD,UCV,GPV,density,bulk,shear
243,1055,csq_sym_5_on_10_sym_8_mc_9_L_16,csq,5,organic,10,8,metallic,9,16,0.89,1321,3932,33.5,35,1.044776,27474.44,2.650079,0.335839,8.784782,4.211751
244,1060,csq_sym_5_on_10_sym_8_mc_9_L_20,csq,5,organic,10,8,metallic,9,20,0.9,1230,4186,37.7,38.6,1.023873,38467.77,3.063162,0.293814,6.393294,3.182207
245,1064,csq_sym_5_on_10_sym_8_mc_9_L_24,csq,5,organic,10,8,metallic,9,24,0.91,1119,4307,40.6,41.8,1.029557,51503.58,3.50345,0.259744,6.690627,2.80998
246,1066,csq_sym_5_on_10_sym_8_mc_9_L_26,csq,5,organic,10,8,metallic,9,26,0.91,1134,3952,39.5,40.9,1.035443,47719.76,3.171384,0.286941,1.965886,1.423408
247,1081,csq_sym_5_on_10_sym_8_mc_9_L_3,csq,5,organic,10,8,metallic,9,3,0.81,1276,2281,25.8,27.3,1.05814,14790.24,1.448684,0.559128,14.41743,8.925214
248,1078,csq_sym_5_on_10_sym_8_mc_9_L_37,csq,5,organic,10,8,metallic,9,37,0.93,1110,5404,42.1,44.3,1.052257,59710.11,4.529493,0.205321,4.641577,2.254908
249,1083,csq_sym_5_on_10_sym_8_mc_9_L_41,csq,5,organic,10,8,metallic,9,41,0.93,1004,5469,47.4,49,1.033755,78049.34,5.063512,0.183667,4.519852,2.368848
250,1087,csq_sym_5_on_10_sym_8_mc_9_L_45,csq,5,organic,10,8,metallic,9,45,0.94,921,4957,49.5,51.1,1.032323,90828.1,5.05708,0.185878,0.819621,0.63178
251,1105,csq_sym_5_on_11_sym_8_mc_8_L_12,csq,5,organic,11,8,metallic,8,12,0.88,1479,4252,27.5,29.2,1.061818,25663.84,2.385121,0.368954,6.523783,3.805185
252,1106,csq_sym_5_on_11_sym_8_mc_8_L_13,csq,5,organic,11,8,metallic,8,13,0.89,1481,4037,27.7,29.2,1.054152,24772.59,2.290355,0.388586,4.915064,3.493072
253,1109,csq_sym_5_on_11_sym_8_mc_8_L_16,csq,5,organic,11,8,metallic,8,16,0.92,1357,5443,32.6,34.8,1.067485,31333.78,3.452041,0.266509,8.049163,2.994147
254,1114,csq_sym_5_on_11_sym_8_mc_8_L_20,csq,5,organic,11,8,metallic,8,20,0.92,1271,5600,36.7,37.6,1.024523,43574.26,3.844996,0.239272,5.27495,2.13707
255,1118,csq_sym_5_on_11_sym_8_mc_8_L_24,csq,5,organic,11,8,metallic,8,24,0.93,1197,5869,38.8,41.6,1.072165,58635.55,4.361958,0.213207,3.14218,1.5378
256,1120,csq_sym_5_on_11_sym_8_mc_8_L_26,csq,5,organic,11,8,metallic,8,26,0.93,1158,5230,37.5,39.9,1.064,55465.96,4.024754,0.23107,2.534277,1.492973
257,1121,csq_sym_5_on_11_sym_8_mc_8_L_27,csq,5,organic,11,8,metallic,8,27,0.94,1117,6546,39.5,42.4,1.073418,51379.43,5.188669,0.181164,5.01766,1.833933
258,1135,csq_sym_5_on_11_sym_8_mc_8_L_3,csq,5,organic,11,8,metallic,8,3,0.88,1549,3909,25.6,27.1,1.058594,17287.33,2.057628,0.427677,13.60145,4.857586
259,1129,csq_sym_5_on_11_sym_8_mc_8_L_34,csq,5,organic,11,8,metallic,8,34,0.94,1139,7103,42.3,44.4,1.049645,67640.06,5.58543,0.168295,3.796043,1.229584
260,1132,csq_sym_5_on_11_sym_8_mc_8_L_37,csq,5,organic,11,8,metallic,8,37,0.94,1107,6890,40.7,43.8,1.076167,67480.46,5.572253,0.168693,3.285348,1.470119
261,1137,csq_sym_5_on_11_sym_8_mc_8_L_41,csq,5,organic,11,8,metallic,8,41,0.95,986,6715,45.4,48.6,1.070485,87984.43,6.210409,0.152969,0.9422,0.736019
262,1139,csq_sym_5_on_11_sym_8_mc_8_L_43,csq,5,organic,11,8,metallic,8,43,0.95,918,6863,49.2,52.7,1.071138,112145.9,6.858314,0.138518,2.322972,0.918611
263,1141,csq_sym_5_on_11_sym_8_mc_8_L_45,csq,5,organic,11,8,metallic,8,45,0.95,860,5900,49.5,52.7,1.064646,106053.5,6.294267,0.150931,1.862953,0.888393
264,1142,csq_sym_5_on_11_sym_8_mc_8_L_46,csq,5,organic,11,8,metallic,8,46,0.96,820,7439,51.7,56.1,1.085106,125905.6,8.384279,0.1145,1.893931,0.737883
265,1153,csq_sym_5_on_11_sym_8_mc_9_L_12,csq,5,organic,11,8,metallic,9,12,0.84,1246,2565,30.1,31.1,1.033223,22280.69,1.729149,0.485788,9.340044,5.624079
266,1154,csq_sym_5_on_11_sym_8_mc_9_L_13,csq,5,organic,11,8,metallic,9,13,0.84,1253,2460,29.6,31,1.047297,21558.2,1.649083,0.509374,0.401388,6.3232
267,1157,csq_sym_5_on_11_sym_8_mc_9_L_16,csq,5,organic,11,8,metallic,9,16,0.89,1352,3819,33.7,35.2,1.04451,27426.31,2.51497,0.353881,12.71258,5.373161
268,1162,csq_sym_5_on_11_sym_8_mc_9_L_20,csq,5,organic,11,8,metallic,9,20,0.9,1224,4001,38.2,38.9,1.018325,38495.29,2.940802,0.306039,9.383168,3.973975
269,1166,csq_sym_5_on_11_sym_8_mc_9_L_24,csq,5,organic,11,8,metallic,9,24,0.91,1122,4266,41.3,43,1.041162,52677.48,3.45951,0.263043,8.159446,2.789393
270,1168,csq_sym_5_on_11_sym_8_mc_9_L_26,csq,5,organic,11,8,metallic,9,26,0.91,1124,3982,41.8,42.6,1.019139,50193.47,3.22311,0.282336,4.334935,2.196205
271,1169,csq_sym_5_on_11_sym_8_mc_9_L_27,csq,5,organic,11,8,metallic,9,27,0.93,1144,4925,41.4,42,1.014493,45892.46,4.002617,0.232348,6.738373,2.847851
272,1183,csq_sym_5_on_11_sym_8_mc_9_L_3,csq,5,organic,11,8,metallic,9,3,0.81,1196,2010,26,27.3,1.05,14703.84,1.361418,0.594968,22.61661,10.98438
273,1177,csq_sym_5_on_11_sym_8_mc_9_L_34,csq,5,organic,11,8,metallic,9,34,0.93,1090,5200,43.4,44.9,1.034562,60746.21,4.434928,0.209699,6.976288,3.305524
274,1180,csq_sym_5_on_11_sym_8_mc_9_L_37,csq,5,organic,11,8,metallic,9,37,0.93,1107,5320,43.1,45.2,1.048724,61244.93,4.471347,0.207991,6.620182,2.963683
275,1187,csq_sym_5_on_11_sym_8_mc_9_L_43,csq,5,organic,11,8,metallic,9,43,0.94,909,5538,52.5,54.7,1.041905,102835.4,5.723506,0.164235,5.743293,2.201559
276,1189,csq_sym_5_on_11_sym_8_mc_9_L_45,csq,5,organic,11,8,metallic,9,45,0.94,877,4899,52.4,54.4,1.038168,97025.98,5.253216,0.178938,3.395225,1.581453
